Tag,Property-Price,Location,BHK,Carpet-Construction-Area,Service_Expiry_Date
b-1-1701-green-glades-godrej-garden-city-gota-dec24_880,89.0,A-Gota,3.0,900.0,2025-06-29
b-1001-kedar-tower-shahibaug-jan25_892,135.0,A-Shahibaug,5.0,1431.0,2025-07-25
b-1005-kalash-parisar-and-plaza-naroda-oct24_899,42.0,A-Naroda,2.0,570.0,2025-02-04
b-102-dharmlake-residency-hathijan-april25_909,60.0,A-Hathijan,3.0,1620.0,2025-06-07
b-103-bhavnath-society-ghatlodia-feb25_914,110.00000000000001,A-Ghatlodia,4.0,1800.0,2025-08-08
b-11-sanidhya-homes-south-bopal-nov24_922,250.0,A-South Bopal,3.0,1422.0,2025-05-30
"b-110-the-landmark-kudasan-oct24,_924",110.00000000000001,G-Kudasan,3.0,551.0,2025-05-05
b-1101-swastik-skylark-gota-feb25_926,114.99999999999999,A-Gota,3.0,972.0,2025-04-26
b-1102-vandematram-fabula-gota-oct24_927,9000000.0,A-Gota,3.0,1170.0,2025-05-05
b-12-dhumketu-bunglows-kankariya-oct24_932,385.0,A-kankaria,5.0,872.0,2025-05-05
b-1201-status-elysium-gota-sep24_937,90.0,A-Gota,2.0,720.0,2025-02-15
b-121-radience-residency-motera-dec24_943,125.0,A-Motera,3.0,1581.0,2025-06-07
b-201-uma-sharnam-gota--oct24_978,68.0,A-Gota,3.0,1296.0,2025-03-03
b-2930-krishna-gokul-co-opp.-housing-society-part-2-naroda-dec24_1006,225.0,A-Naroda,3.0,872.0,2025-06-13
b-3-geeta-apartment-ambawadi-feb25_1010,7000.0,A-Ambawadi,2.0,630.0,2025-06-23
b-3-surbhi-park-society-isanpur-nov24_1012,90.0,A-Isanpur,2.0,872.0,2025-05-16
b-301-samvaad-sonnet-vaishnodevi-aug24_1014,67.0,A-Vaishnodevi,3.0,954.0,2025-03-04
b-304-ashwamegh-pearl-maninagar-west-dec24_1024,114.99999999999999,A-maninagar West,3.0,1044.0,2025-06-09
b-305-ganesh-icon-vaishnodevi-nov24_1026,57.0,A-Vaishnodevi,2.0,774.0,2025-03-16
b-31-32-celebration-city-centre-bopal-nov24_1030,127.0,A-Bopal,3.0,872.0,2025-05-14
b-311-312-signature-2-sarkhej-oct24_1031,105.0,A-Sarkhej,3.0,872.0,2025-05-05
b-4-maha-gujarat-society-naranpura-oct24_1036,350.0,A-Naranpura,3.0,1530.0,2025-04-04
b-401-sangath-silver-motara-sept24_1039,120.0,A-Motera,3.0,1398.0,2025-03-29
b-402-krishna-grace-thaltej-jan25_1044,35.0,A-Thaltej,3.0,872.0,2025-05-08
b-402-veer-vishwa-mahemdabad-feb25_1047,31.0,A-Adalaj,2.0,648.0,2025-05-01
b-403-marry-gold-avenue-2-madhapar-march25_1050,25.0,A-Adalaj,2.0,667.0,2025-07-12
b-403-shubhlaxmi-avenue-chandkheda-nov24_1053,68.0,A-Chandkheda,3.0,1017.0,2025-05-23
b-405-gulmahor-nirvana-ghuma-sep24_1059,30.0,A-Ghuma,1.0,500.0,2024-11-06
b-425-pltinum-plaza-bodakdev-dec24_1066,285.0,A-Bodakdev,3.0,2435.0,2025-06-17
b-5-302-pushkar-residency-jashodanagar-sep24_1073,40.0,A-Vatva,2.0,735.0,2024-11-23
b-504-dev-ashish-pride-&-plaza-naroda-oct24_1096,54.0,A-Naroda,2.0,711.0,2025-04-13
b-516-om-shanti-raj-nivas-vatva-march25_1106,17.0,A-Vatva,1.0,522.0,2025-05-16
b-601-serenity-satyam-south-bopal-oct24_1114,80.0,A-South Bopal,3.0,965.0,2025-02-05
b-602-om-shanti-gold-plus-narol-jul25_1116,25.0,A-Vaishnodevi,3.0,561.0,2025-07-20
b-602-setu-scarlet-chandkeda-nov24_1117,151.0,A-Chandkheda,3.0,1462.0,2025-05-27
b-603-yash-pinnacale-paldi-jan25_1120,67.0,A-Paldi,2.0,747.0,2025-07-05
b-604-magnate-lifestyle-vaishnodevi-circle-oct24_1123,74.0,A-Vaishnodevi,3.0,872.0,2025-05-05
b-604-sp-nirvana-south-bopal-jan25_1125,68.0,A-South Bopal,3.0,1020.0,2025-07-31
b-7-gopalnagar-chandkheda-jan25_1130,192.0,A-Chandkheda,5.0,2871.0,2025-08-05
b-704-tulshi-highs-vaishnodevi-sep24_1138,25.0,A-Vaishnodevi,3.0,872.0,2024-11-04
b-802-rudraksh-residency-kosamdi-oct24_1143,45.0,A-Adalaj,3.0,1080.0,2025-04-06
b-803-rudraksh-residency-kosamdi-oct24_1147,45.0,A-Adalaj,3.0,1080.0,2025-04-06
b-803-swati-crimson-2-satellite-march25_1149,276.0,A-Satellite,4.0,2424.0,2025-05-15
b-901-orchid-divine-south-bopal-dec24_1155,80.0,A-South Bopal,3.0,778.0,2025-06-01
b-902-atlantis-north-gota-march25_1158,91.0,A-Gota,3.0,1143.0,2025-05-17
b-903-orchid-pride-south-bopal-oct24_1159,74.0,A-South Bopal,3.0,792.0,2025-05-05
b-904-maple-parmeswer-chandkheda-nov24_1164,98.0,A-Chandkheda,3.0,1215.0,2025-05-11
b-93-shagun-complex-swatik-society-navrangpura-oct24_1167,150.0,A-Navrangpura,3.0,2850.0,2025-05-05
b-94-prernavirajtower-satellite-sell-aug24_1168,80.0,A-Satellite,3.0,918.0,2024-12-16
24-2-bina-park-ghatlodia-dec24_1172,135.0,A-Ghatlodia,2.0,720.0,2025-06-03
bunglows-145-3a-radha-vallabh-colony-maninagar-oct24_1174,350.0,A-Maninagar,5.0,3330.0,2025-03-05
2-jeet-city-mota-chiiloda-sep24_1175,135.0,G-Mota Chiloda,3.0,1476.0,2025-03-07
bunglows-5&6-shubhangan-bunglows-kalol-sept24_1176,311.0,G-kalol,5.0,872.0,2025-03-29
c-103-aditya-oriana-gota-jan24_1194,22.0,A-Gota,3.0,1080.0,2025-04-04
"c-103-sukh-sahita-heights-nava-naroda-oct24,_1196",60.5,A-Nava Naroda,2.0,810.0,2025-03-05
c-1051-trp-mall-bopal-sept24_1203,175.0,A-Bopal,3.0,503.0,2025-03-13
c-14-the-arvind-megha-trade-naroda-feb25_1218,30.0,A-Naroda,3.0,221.0,2025-06-24
c-16-krishna-bhavan-kashmora-society-paldi-oct24_1220,1200.0,A-Paldi,3.0,872.0,2025-05-05
c-16-kuber-ratna-dabhoi-march25_1221,31.0,B-Dabhoi Road,3.0,1039.0,2025-05-12
c-17-purn-purushotam-society-1-ranip-march25_1222,130.0,A-Ranip,4.0,1620.0,2025-05-21
c-1901-sky-ville-apartment-shela-jan24_1223,215.0,A-Shela,3.0,872.0,2025-07-03
c-2-1801-riviera-woods-sky-city-shela-jan25_1226,672.0,A-Shela,5.0,4953.0,2025-07-19
c-2-204-rudra-arambh-changodar-oct24_1227,23.0,A-Changodar,1.0,872.0,2025-04-09
"c-201-shree-narayan-lotus-chandkheda-nov24,_1236",38.0,A-Chandkheda,2.0,648.0,2025-04-02
c-204-shukan-apartment-gota-oct24_1242,88.0,A-Gota,3.0,1026.0,2025-05-05
"c-25-ankur-society-naroda-sep24,_1247",52.0,A-Naroda,3.0,1350.0,2024-11-15
c-301-keshav-galaxy-nikol-aug24_1251,65.0,A-Nikol,3.0,1008.0,2024-12-31
c-302-arjun-homes-naranpura-rent-feb25_1254,20.0,A-Naranpura,2.0,900.0,2025-05-10
"c-302-ayodhya-society-2-vatva-aug24,_1255",21.0,A-Vatva,2.0,585.0,2024-10-25
c-303-sarvopari-elegance-new-ranip-dec24_1259,86.0,A-New Ranip,3.0,1035.0,2025-06-16
c-304-luxuria-apartment-bhadaj-jan25_1262,40.0,A-Bhadaj,3.0,872.0,2025-04-24
c-325-siddharth-excelence-vasna-road-feb25_1266,47.0,B-Vasna Road,3.0,429.0,2025-04-07
"c-4-1603-waterlily-oct24,_1271",475.0,A-Vaishnodevi,5.0,4000.0,2025-05-05
c-401-swati-chrysantha-shela-nov24_1274,72.0,A-Shela,3.0,790.0,2025-05-27
c-44-403-swaminarayan-park-naroda-feb25_1285,25.0,A-Nava Naroda,2.0,684.0,2025-04-06
c-5-123-orchid-harmony-shela-oct24_1287,140.0,A-Shela,4.0,1543.0,2025-04-04
c-5-prarambh-smart-city-bavla-may25_1288,65.0,A-Bavla,1.0,720.0,2025-08-12
c-501-somya-residency-sarkhej-sept24_1292,42.0,A-Sarkhej,2.0,567.0,2025-01-08
c-502-om-avenue-sanand-feb25_1295,37.0,A-Sanand,2.0,630.0,2025-04-08
c-503-ved-greens-dahegam-feb25_1301,114.99999999999999,G-Dahegam,4.0,1395.0,2025-07-01
c-603-pramukh-arise-sargasan-march25_1316,56.0,G-Sargasan,2.0,872.0,2025-05-12
c-605-span-valencia-nikol-oct24_1320,65.0,A-Nikol,2.0,1026.0,2025-03-05
"c-7-punitnagar-society-ghodasar-dec24,_1322",32.0,A-Ghodasar,1.0,405.0,2025-02-18
c-704-vandemataram-fabula-gota-sept24_1328,80.0,A-Gota,3.0,630.0,2025-01-27
"c-801-krupal-bachpan-shela-dec24,_1330",70.0,A-Shela,3.0,882.0,2025-04-02
c-801-vivaan-eminance-zundal-sep24_1331,66.0,A-Zundal,3.0,936.0,2024-11-17
c-902-kaveri-soham-vistara-shilaj-march25_1337,105.0,A-Shilaj,3.0,1007.0,2025-05-17
c-904-shri-vishnudhara-garden-gota-feb25_1340,135.0,A-Devnagar Gota,3.0,872.0,2025-05-15
c-904-vinayak-heights-soma-talav-sep24_1341,40.0,B-Soma Talav,3.0,950.0,2024-11-22
d-103-maruti-celedron-aug24_1352,225.0,A-SG Highway,4.0,1663.0,2025-01-06
d-104-kaveri-soham-bopal-nov24_1356,80.0,A-Bopal,3.0,990.0,2025-05-14
d-2001-praharsh-blubell-shela-oct24_1372,98.0,A-Shela,3.0,1166.0,2025-02-07
d-202-balaji-windpark-sg-highway-oct24_1375,270.0,A-Nirma University SG Highway,5.0,3510.0,2025-03-03
d-36-suryam-hope-town-chandkheda-feb25_1387,21.0,A-Chandkheda,3.0,872.0,2025-04-07
d-38-kavisha-duplex-chandkheda-oct24_1388,200.0,A-Chandkheda,3.0,1620.0,2025-05-05
d-402-vishwa-residency-memnagar-dec24_1394,85.0,A-Memnagar,2.0,855.0,2025-06-16
"d-5-12-fortune-roto-amraiwadi-sep24,_1397",285.0,A-Amraiwadi,3.0,872.0,2025-01-22
d-601-umang-apartment-vatva-oct24_1411,15.0,A-Vatva,1.0,380.0,2025-01-05
d-602-kesar-samrudham-vaishnodevi-aug24_1413,56.0,A-Vaishnodevi,2.0,594.0,2024-12-24
"d-95-radhey-bunglows-part-2-maninagar-east-dec24,_1428",87.0,A-Maninagar East,2.0,558.0,2025-04-13
d-96-pushkar-industrial-lambha-may25_1429,32.0,A-Lambha,3.0,3114.0,2025-07-30
deval-hospital-naroda-dec24_1431,250.0,A-Naroda,3.0,1332.0,2025-06-06
e-1001-zaveri-greens-south-bopal-jan25_1435,53.0,A-South Bopal,2.0,872.0,2025-05-07
e-15-mahalaxmi-raw-house-ghuma-oct24_1443,95.0,A-Ghuma,3.0,872.0,2025-05-05
e-201-satatya-avenue-new-ranip-oct24_1446,31.0,A-New Ranip,1.0,612.0,2024-12-05
e-301-aakruti-elegance-gota-feb25_1452,85.0,A-Gota,3.0,1026.0,2025-08-06
e-305-vanadematram-city-gota-sep24_1457,20.0,A-Gota,3.0,872.0,2024-11-04
e-311-river-side-park-feb25_1458,30.0,A-Vasna,1.0,576.0,2025-03-19
e-404-shree-rang-oasis-randesan-sep24_1463,75.0,G-Randesan,3.0,1332.0,2025-01-21
e-701-sai-green-valley-2-ghuma-oct24_1474,47.0,A-Ghuma,2.0,872.0,2025-01-05
f-102-polaris-elina-randheja-nov_1490,65.0,G-Randheja,3.0,819.0,2025-03-16
f-11-f-12-shyam-sukan-april25_1491,137.0,G-Raysan,3.0,880.0,2025-08-09
f-1203-shivalik-sharda--harmony-ambawadi-feb25_1496,311.0,A-Ambawadi,4.0,872.0,2025-04-19
f-212-sumel-7-bapunagar-jan25_1507,25.0,A-Bapunagar,3.0,282.0,2025-03-22
f-402-royal-lake-view-nana-chiloda-nov24_1520,52.0,A-nana Childoa,2.0,1017.0,2025-03-15
f-703-jay-residency-vastral-may25_1531,25.0,A-Vastral,1.0,387.0,2025-07-09
"f-801-sarvesh-apartment-ranip-cot24,_1535",50.0,A-Ranip,3.0,872.0,2025-03-05
ff-10-siddhanath-platinum-waghodia-road-feb25_1543,55.0,B-Waghodia Road,3.0,200.0,2025-04-10
ff-154-pramukh-anand-orbit-mall-kudasan-oct24_1545,100.0,G-Kudasan,3.0,432.0,2025-05-05
ff-155-pramukh-anand-orbit-mall-kudasan-oct24_1546,100.0,G-Kudasan,3.0,433.0,2025-05-05
ff-18-sargam-complex-ankleshwar-oct24_1549,36.0,A-Adalaj,3.0,872.0,2025-04-06
g-1-1704-the-meadows-vaishnodevi-feb25_1554,187.0,A-Vaishnodevi,3.0,1428.0,2025-06-03
g-12-bhavna-apartment-vasna-oct24_1558,60.0,A-Vasna,2.0,756.0,2025-01-05
g-204-river-side-park-phase-2-vasna-jan25_1562,48.0,A-Vasna,2.0,801.0,2025-05-20
g-204-siddharth-enclave-harni-feb25_1563,40.0,B-Harni,3.0,800.0,2025-06-21
g-4-sg-business-hub-sg-highway-oct24_1570,103.0,A-SG Highway,3.0,872.0,2025-04-13
gf-34-siddheshwar-the-business-harbour-oct24_1593,34.0,B-Dabhoi Road,3.0,262.0,2024-12-09
gf-4-mahavir-apartment-vasna-jan25_1594,50.0,A-Vasna,3.0,1260.0,2025-07-03
gf-5-balaji-centre-gurukul-sept24_1596,275.0,A-Gurukul,3.0,630.0,2025-03-27
gf-64-pramukh-anand-orbit-mall-kudasan-oct24_1599,215.0,G-Kudasan,3.0,560.0,2025-05-05
gf-65-pramukh-anand-orbit-mall-kudasan-oct24_1600,225.99999999999997,G-Kudasan,3.0,566.0,2025-05-05
"h-1-702-ashrya-10-apartment-new-ranip-oct24,_1606",62.5,A-New Ranip,3.0,747.0,2025-01-05
h-10-sg-business-hub-sg-highway-oct24_1607,112.00000000000001,A-SG Highway,3.0,872.0,2025-04-13
h-103-anavya-parmmeshwar-aug24_1609,95.0,A-Adalaj,3.0,1359.0,2024-12-25
h-11-new-madhupura-market-shahibaug-nov24_1610,295.0,A-Shahibaug,3.0,872.0,2025-05-17
h-302-radhey-skyline-apartment-sanand-april25_1618,56.0,A-Sanand,3.0,1166.0,2025-07-18
h-501-radhe-skyline-sanand-feb25_1629,73.0,A-Sanand,3.0,940.0,2025-06-22
harsh-irrigation-pvt-ltd-dec24_1636,500.0,A-narol,3.0,872.0,2025-06-25
i-109-parivar-homes-gota-april25_1641,80.51,A-Gota,1.0,405.0,2025-08-14
j-201-parshwanath-atlantis-park-sughad-feb25_1659,28.5,A-Sughad,1.0,872.0,2025-04-26
j-408-om-shanti-gold-plus-narol-oct24_1667,32.0,A-narol,3.0,675.0,2025-01-05
k-14-shantinath-apartment-vejalpur-nov24_1677,31.5,A-Vejalpur,1.0,872.0,2025-01-21
kanjibhai-estate-16-vatva-sep24_1684,315.0,A-Vatva,3.0,872.0,2025-04-06
kohinoor-paints-godown-naroda-nov24_1685,32.0,A-Naroda,3.0,872.0,2025-01-10
m-1-104-shree-thakornath-residency-dahegam-oct24_1693,16.5,G-Dahegam,2.0,570.0,2024-12-04
m1-401-shree-thakornath-residency-dahegam-sept24_1703,14.0,G-Dahegam,2.0,570.0,2024-11-13
703-meera-skyvue-raysan-gandhinagar-nov-2024_1705,20.0,G-Raysan,3.0,1143.0,2025-01-12
n-505-home-town-4-chandkheda-sep24_1714,27.0,A-Chandkheda,1.0,774.0,2024-11-13
p-1007-vir-savarkar-heights-1-gota-jul25_1718,27.0,A-Gota,2.0,475.0,2025-07-23
p-123-keshav-park-society-vavol-jun25_1720,140.0,G-Vavol,4.0,1881.0,2025-08-14
plot-200-ambar-sector--21-nov24_1727,1728.0,G-Sector 26,3.0,872.0,2025-05-30
plot-200-ambar-sector--21-rent-nov24_1728,7.62,G-Sectr 22,3.0,872.0,2025-01-30
plot-25-26-shreeji-park-society-adalaj-jan24_1730,300.0,A-Adalaj,3.0,872.0,2025-03-06
plot-26-27-yoginagar-3-dhandhuka-nov24_1731,44.0,A-Sanand,3.0,872.0,2025-05-05
plot-126-sona-exotica-march25_1735,266.0,G-kalol,2.0,495.0,2025-06-22
plot-24-25-moti-shiholi-alampur-dec24_1736,45.0,B-Alamgir,3.0,872.0,2025-06-13
plot-9-apple-greens-gota-oct24_1739,1050.0,A-Gota,3.0,872.0,2025-07-05
q-1001-parishkar-2--khokhra--dec24_1743,65.0,A-Khokhra,2.0,842.0,2025-05-01
q-12-shreenand-nagar-vibhag-3-vejalpur-march25_1744,30.0,A-Vejalpur,1.0,513.0,2025-06-02
"s-12-gokuldham-apartment-vejalpur-dec24,_1753",23.0,A-Vejalpur,1.0,675.0,2025-02-02
"s-3-india-bulls-saraspur-dec24,_1756",15.0,A-Saraspur,3.0,216.0,2025-02-25
s-4-divyabhumi-complex-chankdheda-oct24_1757,75.0,A-Chandkheda,3.0,780.0,2025-05-05
s-7-oxford-tower-gurukul-dec24_1759,150.0,A-Gurukul,3.0,850.0,2025-06-09
sf-205-z-one-bodakdev-feb25_1763,307.0,A-Bodakdev,3.0,1667.0,2025-08-02
shop-101-kedaram-trade-centre-gita-mandir-dec24_1775,76.3,A-Maninagar,3.0,872.0,2025-06-17
shop-2-dev-green-vastral-nov24_1792,52.0,A-Vastral,3.0,872.0,2025-05-09
shop-2-gf-surbhi-building-navrangpura-nov24_1793,360.0,A-Navrangpura,3.0,720.0,2025-05-30
shop-21-shridhar-heights-vastral-jan25_1798,62.0,A-Vastral,3.0,227.0,2025-07-31
3-rajshree-heights-ctm-feb25_1803,58.0,A-Amraiwadi,3.0,235.0,2025-06-22
shop-3-shreeji-tower-gurukul-aug24_1805,90.0,A-Gurukul,3.0,305.0,2025-03-13
shop-3-stavan-parkline-sargasan-oct24_1806,93.0,G-Sargasan,3.0,464.0,2025-05-05
shop-4-kedaram-trade-centre-dec24_1809,135.0,A-Maninagar,3.0,330.0,2025-04-09
shop-6-vardan-tower-naranpura-sep24_1816,90.0,A-Naranpura,3.0,340.0,2025-03-14
gf-7-signature-infinity-gota-jan25_1819,65.0,A-Gota,3.0,872.0,2025-07-02
shop-8-surbhibaug-society-nava-naroda-oct24_1821,110.00000000000001,A-Nava Naroda,3.0,872.0,2025-03-05
shop-9-10-royal-opulance-vaishnodevi-aug24_1823,161.0,A-Vaishnodevi,3.0,722.0,2025-03-01
shop-c-15--salvik-shukan-society-vavol-dec24_1827,42.0,G-Vavol,3.0,359.0,2025-04-16
shop-no-101-giriraj-complex-naranpura-feb25_1830,168.0,A-Naranpura,3.0,872.0,2025-08-18
shop-4-5-amiplaza-complex-bapunagar-feb25_1831,25.0,A-Bapunagar,3.0,470.0,2025-04-12
c-301-the-festival-residency-2-vaishnodevi-circle-oct24_1842,190.0,A-Vaishnodevi,4.0,1953.0,2025-05-05
27-16-kailash-apartment-maninagar-rent-nov24_1843,18.0,A-Maninagar,3.0,1080.0,2025-01-11
ul-10-maruti-tower-satellite-feb25_1845,50.0,A-Satellite,3.0,400.0,2025-08-17
unit-b-115-royal-beach-city-the-goa-feb25_1846,24.0,A-Dholera Sir,3.0,872.0,2025-06-05
v-104-dev-castle-isanpur-oct24_1847,60.0,A-Isanpur,2.0,810.0,2025-01-05
v-402-akruti-township-phase-3-narol-dec24_1849,25.0,A-narol,2.0,675.0,2025-06-13
w-204-sukhdham-residency-soma-talav-march25_1852,47.0,B-Soma Talav,3.0,872.0,2025-07-20
